,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_20-CrossR-Replica_4,-0.507792,-0.922776,-0.79949,-0.846732,-0.608027,-0.906805,-1.075119,999.0,-1.075318,-0.987817
Cluster_20-CrossR-Replica_5,999.0,-0.737461,-1.042059,-0.9047,-0.503438,-1.02255,-0.925512,-0.330749,-0.795335,-0.987817
Cluster_20-CrossR-Replica_6,-0.921272,-0.975419,-0.995471,-0.962645,-0.914945,-1.032866,-0.99805,-0.573855,-1.03563,-0.987817
Cluster_20-CrossR-Replica_7,0.145949,-0.920267,-0.885325,-1.09052,-0.730085,-0.993286,-0.916496,0.079345,-0.946939,-0.987817
Cluster_20-CrossR-Replica_8,-0.266403,-0.971365,-0.976879,-1.013801,-0.730233,-1.012599,-1.037996,-0.745181,-1.070966,-0.987817
Cluster_20-CrossR-Replica_9,999.0,-0.866593,-0.918566,-0.84407,-0.622215,-0.982799,-0.962639,-0.333705,-1.040181,-0.987817
Cluster_21-CrossR-Replica_1,0.145575,-1.066696,-0.922336,-0.97506,-0.622818,-1.086831,-1.105667,-0.986014,-0.581935,-0.987817
Cluster_21-CrossR-Replica_10,-0.506478,-1.000537,-0.884517,-1.036462,0.325218,-0.843331,-1.054271,999.0,-1.103276,-0.987817
Cluster_21-CrossR-Replica_2,0.146931,-1.238012,-0.864065,-0.975316,-1.093108,-0.941368,-0.896253,999.0,-0.903789,-0.987817
Cluster_21-CrossR-Replica_3,999.0,-0.324253,-0.542253,-1.172303,-0.502184,-1.270694,-0.954091,0.080184,-0.731954,-0.987817
Cluster_21-CrossR-Replica_4,-0.679297,-1.022367,-0.993494,-0.922296,-0.716721,-1.032779,-1.021234,-0.332371,-0.903813,-0.987817
Cluster_21-CrossR-Replica_5,0.148131,-1.253139,-0.844517,-0.738022,-0.83706,-0.869972,-0.833614,999.0,-0.249078,-0.987817
Cluster_21-CrossR-Replica_6,-0.508044,-0.975419,-1.073005,-1.071338,-1.156667,-0.951906,-0.972312,999.0,-0.994499,-0.987817
Cluster_21-CrossR-Replica_7,-0.680506,-1.064039,-0.977226,-1.04634,-0.075135,-0.983095,-0.834138,0.079345,-0.946939,-0.987817
Cluster_21-CrossR-Replica_8,-0.508126,-0.832093,-0.904525,-0.963033,-0.822132,-0.857164,-0.845196,-0.986903,-0.790768,-0.987817
Cluster_21-CrossR-Replica_9,-0.506728,-0.836014,-0.988782,-0.810941,-0.822807,-0.804402,-0.866273,999.0,-1.040181,-0.987817
Cluster_22-CrossR-Replica_1,999.0,-1.022516,-0.863648,-0.94856,-0.076561,-0.832006,-0.898018,-0.572786,-0.851391,-0.979112
Cluster_22-CrossR-Replica_10,0.148472,-0.734478,-1.070744,-0.776942,-0.984682,-1.07635,-0.76483,-0.575151,-0.786936,-0.979112
Cluster_22-CrossR-Replica_2,-1.013145,-1.169805,-1.151923,-0.829184,-0.318526,-0.952307,-0.996606,999.0,-1.111436,-0.979112
Cluster_22-CrossR-Replica_3,999.0,-1.169053,-0.955478,-1.013091,-0.743907,-0.698512,-0.907127,-0.574766,-0.995358,-0.979112
Cluster_22-CrossR-Replica_4,999.0,-0.732926,-0.751771,-1.001902,-0.06177,-0.805084,-0.953028,999.0,-0.662091,-0.979112
Cluster_22-CrossR-Replica_5,0.148131,-0.839911,-1.026575,-0.793092,-0.090211,-1.094901,-1.104074,-0.330749,-1.111675,-0.979112
Cluster_22-CrossR-Replica_6,999.0,-0.866726,-0.845647,-1.144004,-1.289697,-0.791143,-0.917243,999.0,-0.660878,-0.979112
Cluster_22-CrossR-Replica_7,0.145949,-0.920267,-0.700423,-0.859349,-0.488363,-0.870276,-0.916496,999.0,-0.3773,-0.979112
Cluster_22-CrossR-Replica_8,-0.266403,-0.832093,-1.010005,-0.877722,-0.822132,-0.92879,-1.151893,-0.331953,-0.073006,-0.979112
Cluster_22-CrossR-Replica_9,999.0,-0.769706,-1.134913,-1.069458,-1.092263,-1.05983,-1.029881,-0.333705,0.161026,-0.979112
Cluster_23-CrossR-Replica_1,999.0,-0.835525,-0.903405,-0.987881,-0.82341,-0.929555,-0.752437,999.0,-0.851391,-0.979112
Cluster_23-CrossR-Replica_10,999.0,-0.77062,-0.579982,-0.794739,-1.104314,-0.774731,-0.981181,-0.333428,-0.987528,-0.979112
Cluster_23-CrossR-Replica_2,-0.266297,-1.027674,-0.903821,-1.070906,-0.490031,-1.078797,-0.71135,0.081322,-0.732284,-0.979112
Cluster_23-CrossR-Replica_3,-0.507589,-0.773622,-0.722461,-1.143682,-0.088957,-1.119963,-1.005964,999.0,-0.851586,-0.979112
Cluster_23-CrossR-Replica_4,999.0,-0.974649,-1.099419,-0.878116,-0.958443,-0.993672,-0.875997,999.0,-1.11146,-0.979112
Cluster_23-CrossR-Replica_5,0.148131,-0.773603,-0.924125,-0.874886,-0.090211,-1.059822,-0.971041,999.0,-0.951746,-0.979112
Cluster_23-CrossR-Replica_6,999.0,-0.923546,-1.058281,-1.093019,-0.985162,-0.818877,-1.00639,-0.573855,-1.263955,-0.979112
Cluster_23-CrossR-Replica_7,0.145949,-1.064039,-0.942146,-1.010914,-0.821984,-1.003306,-0.935427,999.0,-0.790528,-0.979112
Cluster_23-CrossR-Replica_8,-0.508126,-0.832093,-1.04139,-1.124518,-0.075283,-0.905857,-1.045786,-0.331953,-1.203995,-0.979112
Cluster_23-CrossR-Replica_9,0.148223,-0.769706,-0.74706,-0.84407,-0.622215,-0.857429,-0.799964,999.0,-0.385231,-0.979112
Cluster_24-CrossR-Replica_1,-0.267653,-0.949425,-1.176348,-0.876646,-0.731511,-0.832006,-0.927105,-0.331064,-0.995163,-0.979112
Cluster_24-CrossR-Replica_10,-0.506478,-0.896595,-1.085108,-0.948447,-0.742959,-1.001732,-0.789167,0.079799,-0.724124,-0.979112
Cluster_24-CrossR-Replica_2,-0.266297,-1.238012,-0.958891,-0.876902,-0.62306,-0.973601,-1.03718,0.081322,-0.851916,-0.979112
Cluster_24-CrossR-Replica_3,0.147361,-0.807698,-1.14851,-0.812499,-0.743907,-0.961916,-0.997624,999.0,-0.995358,-0.979112
Cluster_24-CrossR-Replica_4,-0.507792,-0.803144,-0.941621,-0.97653,-0.716721,-1.128719,-0.896208,999.0,-0.903813,-0.979112
Cluster_24-CrossR-Replica_5,-0.811354,-0.613674,-1.12737,-0.9047,-0.636468,-1.041477,-0.82247,-0.743976,-0.951746,-0.979112
Cluster_24-CrossR-Replica_6,-0.266321,-0.895813,-1.027705,-0.962645,-0.501717,-1.051497,-0.945413,999.0,-0.850728,-0.979112
Cluster_24-CrossR-Replica_7,-0.509001,-0.97214,-0.822514,-0.933043,-0.730085,-0.983095,-0.944667,999.0,-0.899221,-0.979112
Cluster_24-CrossR-Replica_8,-0.266403,-0.919492,-0.976879,-1.114327,-0.48851,-1.050463,-0.980389,999.0,-0.790768,-0.979112
Cluster_24-CrossR-Replica_9,-0.678232,-1.067185,-0.899635,-1.069458,-0.822807,-0.831505,-0.944568,0.079523,-0.95487,-0.979112
Cluster_25-CrossR-Replica_1,-0.81391,-0.769217,-0.940679,-0.75871,-0.82341,-0.972932,-0.989919,-0.331064,-0.995163,-0.961317
