,10,100,150,200,25,250,300,5,50,full-sampling
Cluster_2-CrossR-Replica_8,999.0,-1.219212,-1.008717,-1.186393,-0.91907,-1.213782,-1.086657,0.085727,-1.511699,-1.093241
Cluster_2-CrossR-Replica_9,0.151113,-1.305412,-1.193461,-1.038477,-0.053516,-0.99285,-1.285709,-0.874497,-1.278423,-1.093241
Cluster_20-CrossR-Replica_1,0.151677,-0.636981,-1.133266,-1.049495,-0.814717,-0.933303,-0.732755,0.084541,-1.013264,-0.875573
Cluster_20-CrossR-Replica_10,999.0,-0.879403,-0.974972,-1.104414,-0.627576,-0.942893,-0.970896,0.205579,-0.231357,-0.875573
Cluster_20-CrossR-Replica_2,-1.089033,-0.025704,-0.73354,-0.635892,-0.613148,-0.297112,-0.520664,999.0,-0.228558,-0.875573
Cluster_20-CrossR-Replica_3,-0.263145,-0.303651,-0.756213,-0.87021,-0.067841,-1.014422,-0.732881,999.0,-0.887465,-0.875573
Cluster_20-CrossR-Replica_4,-0.211526,-0.754349,-0.848378,-1.017281,-0.080576,-0.437868,-0.867074,0.084089,-0.894224,-0.875573
Cluster_20-CrossR-Replica_5,0.151382,-1.094383,-1.051215,-0.886734,-0.480486,-0.799222,-0.780614,0.08446,-0.636951,-0.875573
Cluster_20-CrossR-Replica_6,0.15118,-0.96085,-0.802994,-0.825627,-0.308862,-0.696425,-0.590623,999.0,-0.067033,-0.875573
Cluster_20-CrossR-Replica_7,0.151429,-0.960688,-0.592548,-1.124437,-0.466996,-0.677993,-1.078361,999.0,-0.938875,-0.875573
Cluster_20-CrossR-Replica_8,0.151461,-1.031373,-0.887336,-0.790447,-0.91907,-0.864719,-0.879008,-0.327501,-0.569496,-0.875573
Cluster_20-CrossR-Replica_9,0.151113,-1.418708,-0.990571,-0.540803,-0.599773,-1.039816,-0.60517,0.084987,-0.719063,-0.875573
Cluster_21-CrossR-Replica_1,999.0,-0.849617,-0.802806,-0.426778,-1.084173,-0.800274,-0.888192,999.0,-0.358314,-0.865382
Cluster_21-CrossR-Replica_10,-0.455177,-0.30406,-1.121103,-0.842132,999.0,-1.155528,-1.086644,999.0,-0.47308,-0.865382
Cluster_21-CrossR-Replica_2,0.150649,-0.595342,0.001017,0.089276,-0.308614,-1.091335,-0.692168,999.0,-0.361587,-0.865382
Cluster_21-CrossR-Replica_3,999.0,-0.716878,-0.706504,-1.070802,0.345386,-0.911379,-0.961783,999.0,0.59394,-0.865382
Cluster_21-CrossR-Replica_4,999.0,-1.249371,-0.805777,-0.872446,-0.735526,-0.508086,-0.588894,999.0,-1.027253,-0.865382
Cluster_21-CrossR-Replica_5,999.0,-0.134898,-1.361536,-0.542106,0.345969,-0.757123,-0.73192,-0.983718,-0.465446,-0.865382
Cluster_21-CrossR-Replica_6,999.0,-0.639521,-0.707404,-1.061955,0.346088,-0.696425,-0.793512,-0.209539,-0.480261,-0.865382
Cluster_21-CrossR-Replica_7,999.0,-1.444133,-0.84464,-0.516453,-0.466996,-0.384397,-0.877769,999.0,-0.983055,-0.865382
Cluster_21-CrossR-Replica_8,0.151461,-0.595647,-0.000203,-1.168596,0.39083,-1.051242,-1.0796,999.0,-1.195359,-0.865382
Cluster_21-CrossR-Replica_9,999.0,-0.93239,-1.158035,-0.979403,-1.363416,-0.811491,-1.290699,999.0,-0.368648,-0.865382
Cluster_22-CrossR-Replica_1,0.151677,-0.545082,-1.051845,-1.178092,-0.067868,-0.387046,-0.837205,999.0,-0.708729,-0.855013
Cluster_22-CrossR-Replica_10,0.199773,-0.787505,-1.037783,-0.660075,-1.58706,0.146966,-1.035407,-1.104321,0.595098,-0.855013
Cluster_22-CrossR-Replica_2,999.0,0.107326,-0.562035,-0.870209,999.0,-0.327692,-0.85686,999.0,0.597897,-0.855013
Cluster_22-CrossR-Replica_3,999.0,-0.023453,-1.132554,0.019057,999.0,-0.911379,-0.868442,999.0,-1.508339,-0.855013
Cluster_22-CrossR-Replica_4,999.0,-0.95993,-0.735559,-0.68073,999.0,-0.609373,-0.588894,-1.225811,-0.067769,-0.855013
Cluster_22-CrossR-Replica_5,-1.22133,-1.477031,-1.215403,-0.955333,-0.963931,-0.875432,-0.906588,999.0,999.0,-0.855013
Cluster_22-CrossR-Replica_6,-1.537872,-0.438929,-0.824675,-0.567571,-0.308862,-0.727809,-0.837692,999.0,-1.167444,-0.855013
Cluster_22-CrossR-Replica_7,-0.261799,-0.755107,-0.366311,-0.793254,-1.213845,-0.836946,-0.814957,999.0,-0.839284,-0.855013
Cluster_22-CrossR-Replica_8,0.151461,-1.053054,-1.068381,-0.394014,0.39083,-0.772821,-0.504256,0.085727,-0.368904,-0.855013
Cluster_22-CrossR-Replica_9,-0.262115,-0.93239,-0.885092,-1.015545,-1.426228,-0.694795,-0.994389,0.084987,-0.938287,-0.855013
Cluster_23-CrossR-Replica_1,999.0,-1.050208,-0.319361,999.0,999.0,0.387536,-0.732755,999.0,-0.467007,-0.855013
Cluster_23-CrossR-Replica_10,999.0,-1.166657,-0.681377,-0.680995,999.0,-1.339934,-0.782108,999.0,999.0,-0.855013
Cluster_23-CrossR-Replica_2,999.0,-0.908979,-0.681667,-1.150407,999.0,999.0,0.495641,999.0,999.0,-0.855013
Cluster_23-CrossR-Replica_3,999.0,-1.40797,-0.680003,999.0,999.0,-0.551896,-0.99538,999.0,999.0,-0.855013
Cluster_23-CrossR-Replica_4,999.0,-0.133475,-0.848378,0.258544,999.0,-0.662796,-0.856884,999.0,999.0,-0.855013
Cluster_23-CrossR-Replica_5,999.0,-1.410723,0.094497,-0.659377,999.0,-0.838544,0.49521,999.0,-1.40472,-0.855013
Cluster_23-CrossR-Replica_6,999.0,-1.185778,999.0,-1.093617,999.0,-0.887738,-0.557494,999.0,-0.480261,-0.855013
Cluster_23-CrossR-Replica_7,999.0,-1.322042,-1.093177,-0.155099,999.0,-1.168753,-1.305718,999.0,999.0,-0.855013
Cluster_23-CrossR-Replica_8,999.0,-1.073974,-0.682887,-0.678337,999.0,-0.646847,-0.44557,999.0,-0.477597,-0.855013
Cluster_23-CrossR-Replica_9,999.0,-1.070581,-1.258561,0.260279,999.0,-0.644385,-1.300552,999.0,-1.528724,-0.855013
Cluster_24-CrossR-Replica_1,999.0,-0.636981,-0.845407,-1.160025,0.345359,-0.800274,-1.217609,999.0,-1.268089,-0.855013
Cluster_24-CrossR-Replica_10,999.0,0.280673,-0.885825,-0.842132,0.331909,-0.87533,-0.848417,999.0,0.595098,-0.855013
Cluster_24-CrossR-Replica_2,999.0,-1.444297,-1.299346,0.089276,999.0,-1.176094,-0.305441,999.0,-0.641785,-0.855013
Cluster_24-CrossR-Replica_3,-1.009993,-1.111178,-0.903383,-0.394171,-1.227918,-1.357431,-0.888318,999.0,-0.474237,-0.855013
Cluster_24-CrossR-Replica_4,-0.958375,-0.638601,-0.710187,-0.287713,0.332652,-1.058742,-0.846515,999.0,-1.626706,-0.855013
Cluster_24-CrossR-Replica_5,999.0,-0.439433,-0.366449,-1.050924,0.345969,-0.825723,-0.943288,999.0,0.602732,-0.855013
Cluster_24-CrossR-Replica_6,999.0,-0.935478,-0.922626,-0.567571,-0.893595,-0.486087,-0.953439,-1.782842,0.587917,-0.855013
Cluster_24-CrossR-Replica_7,999.0,0.10749,-1.485724,-0.929681,0.359459,-1.138939,-1.347817,-1.756854,0.177021,-0.855013
Cluster_24-CrossR-Replica_8,999.0,-1.094185,-0.759096,-1.275782,999.0,-0.985457,-1.107335,999.0,-1.25218,-0.855013
Cluster_24-CrossR-Replica_9,999.0,-0.544535,-0.680643,-0.92753,-0.466744,-0.644385,-1.132296,999.0,-1.164524,-0.855013
Cluster_25-CrossR-Replica_1,-1.855774,999.0,-0.732588,1.328583,999.0,-1.378193,-1.245086,999.0,999.0,-0.844461
Cluster_25-CrossR-Replica_10,999.0,0.522395,-0.803467,-1.040478,0.331909,999.0,-0.848417,999.0,-0.886307,-0.844461
Cluster_25-CrossR-Replica_2,999.0,-1.308501,1.161093,-0.244346,999.0,-0.740919,-0.635349,999.0,-0.883508,-0.844461
Cluster_25-CrossR-Replica_3,999.0,-0.593092,1.162757,-0.718253,0.345386,-0.02585,-0.65146,999.0,999.0,-0.844461
Cluster_25-CrossR-Replica_4,999.0,-1.279185,-1.489463,999.0,999.0,-0.963914,-1.26495,999.0,999.0,-0.844461
Cluster_25-CrossR-Replica_5,999.0,999.0,-1.386908,-0.615197,999.0,-0.921313,-0.355581,999.0,999.0,-0.844461
